Cement brand,Specific Weight of cement,Dry Specific Weight of fine aggregate,Fineness Module of fine aggregate,Dry Specific Weight of Coarse Aggregate,Fineness Module of coarse aggregate,Nominal Maximum Size,Concrete Strength at 28 days,Slump,Cement Weight,Fine Aggregate Weight,Coarse Aggregate Weight,Water Weight
MISHKY IP,2840,2552,2.69,2380,6.66,0.5,291.26,2,386.819,761.331,772.717,216
MISHKY IP,2840,2552,2.69,2380,6.66,0.5,296.89,2,401.826,762.605,807.955,220.42
MISHKY IP,2840,2552,2.69,2380,6.66,0.5,243.33,9.5,441.18,771.245,655.929,242.008
MISHKY IP,2840,2552,2.69,2380,6.66,0.5,291.81,1.75,393.384,876.411,725.576,214.048
YURA IP,2810,2490,2.54,2380,6.66,0.5,256.27,1,386.819,717.804,793.385,216
YURA IP,2810,2490,2.54,2380,6.66,0.5,273.04,1.25,401.826,715.485,831.914,220.42
YURA IP,2810,2490,2.54,2380,6.66,0.5,264.04,1.75,441.18,727.344,676.258,242.008
YURA IP,2810,2490,2.54,2380,6.66,0.5,256.01,1,393.384,872.072,708.552,214.048
WARI TIPO I,3610,2490,2.54,2380,6.66,0.5,519.09,2,386.819,755.783,793.385,216
WARI TIPO I,3610,2490,2.54,2380,6.66,0.5,559.18,2.5,401.826,733.286,852.613,220.42
WARI TIPO I,3610,2490,2.54,2380,6.66,0.5,545.42,6.5,441.18,815.617,633.258,242.008
WARI TIPO I,3610,2490,2.54,2380,6.66,0.5,491.35,5.5,393.384,872.072,708.552,214.048
MISHKY IP,2840,2490,2.54,2380,6.66,0.5,278.03,1.75,386.819,721.44,793.385,216
MISHKY IP,2840,2490,2.54,2380,6.66,0.5,297.64,2,401.826,717.183,833.888,220.42
MISHKY IP,2840,2490,2.54,2380,6.66,0.5,293.78,4.5,441.18,735.763,672.157,242.008
MISHKY IP,2840,2490,2.54,2380,6.66,0.5,286.24,1.75,393.384,872.072,708.552,214.048
YURA IP,2810,2680,2.82,2600,6.38,0.5,236.92,2,386.819,773.018,826.562,216
YURA IP,2810,2680,2.82,2600,6.38,0.5,232.11,2,401.826,913.437,723.277,220.42
YURA IP,2810,2680,2.82,2600,6.38,0.5,234.79,5.25,441.18,717.742,765.07,242.008
YURA IP,2810,2680,2.82,2600,6.38,0.5,222.64,3,402.038,847.789,786.071,229.174
WARI TIPO I,3610,2680,2.82,2600,6.38,0.5,434.19,2.75,386.819,873.077,807.991,216
WARI TIPO I,3610,2680,2.82,2600,6.38,0.5,482.28,2,401.826,1019.317,707.602,220.42
WARI TIPO I,3610,2680,2.82,2600,6.38,0.5,501.66,8.75,441.18,923.633,646.894,242.008
WARI TIPO I,3610,2680,2.82,2600,6.38,0.5,405.27,8,402.038,847.789,786.071,229.174
MISHKY IP,2840,2680,2.82,2600,6.38,0.5,266.21,3.25,386.819,836.071,807.991,216
MISHKY IP,2840,2680,2.82,2600,6.38,0.5,214.36,3,401.826,996.931,692.062,220.42
MISHKY IP,2840,2680,2.82,2600,6.38,0.5,240.88,8,441.18,825.449,701.038,242.008
MISHKY IP,2840,2680,2.82,2600,6.38,0.5,228.54,6.5,402.038,847.789,786.071,229.174
YURA IP,2810,2552,2.69,2600,6.38,0.5,261.43,2.75,386.819,773.018,826.562,216
YURA IP,2810,2552,2.69,2600,6.38,0.5,272.45,2.25,401.826,913.437,723.277,220.42
YURA IP,2810,2552,2.69,2600,6.38,0.5,262.65,8,441.18,717.742,765.07,242.008
YURA IP,2810,2552,2.69,2600,6.38,0.5,252.05,5.5,402.038,883.822,706.734,229.174
WARI TIPO I,3610,2552,2.69,2600,6.38,0.5,423.79,3,386.819,811.932,826.562,216
WARI TIPO I,3610,2552,2.69,2600,6.38,0.5,506.23,2.75,401.826,936.164,741.273,220.42
WARI TIPO I,3610,2552,2.69,2600,6.38,0.5,468.83,9,441.18,813.313,712.983,242.008
WARI TIPO I,3610,2552,2.69,2600,6.38,0.5,433.43,8.25,402.038,883.822,706.734,229.174
MISHKY IP,2840,2552,2.69,2600,6.38,0.5,277.47,6.75,386.819,776.744,826.562,216
MISHKY IP,2840,2552,2.69,2600,6.38,0.5,254.51,3.75,401.826,915.605,724.994,220.42
MISHKY IP,2840,2552,2.69,2600,6.38,0.5,221.64,9,441.18,726.857,760.102,242.008
MISHKY IP,2840,2552,2.69,2600,6.38,0.5,235.33,7.5,402.038,883.822,706.734,229.174
YURA IP,2810,2490,2.54,2600,6.38,0.5,255.74,1.75,386.819,733.27,848.67,216
YURA IP,2810,2490,2.54,2600,6.38,0.5,273.34,1.5,401.826,856.688,759.578,220.42
YURA IP,2810,2490,2.54,2600,6.38,0.5,261.77,5,441.18,683.748,782.546,242.008
YURA IP,2810,2490,2.54,2600,6.38,0.5,247.52,1.75,402.038,888.819,679.975,229.174
WARI TIPO I,3610,2490,2.54,2600,6.38,0.5,440.98,4,386.819,771.249,848.67,216
WARI TIPO I,3610,2490,2.54,2600,6.38,0.5,432.17,2.5,401.826,878.002,778.476,220.42
WARI TIPO I,3610,2490,2.54,2600,6.38,0.5,491.08,5.75,441.18,774.793,732.787,242.008
WARI TIPO I,3610,2490,2.54,2600,6.38,0.5,493.61,3.5,402.038,888.819,679.975,229.174
MISHKY IP,2840,2490,2.54,2600,6.38,0.5,262.92,2,386.819,736.906,848.67,216
MISHKY IP,2840,2490,2.54,2600,6.38,0.5,279.84,1.75,401.826,858.72,761.38,220.42
MISHKY IP,2840,2490,2.54,2600,6.38,0.5,271.57,6,441.18,692.431,777.801,242.008
MISHKY IP,2840,2490,2.54,2600,6.38,0.5,271.91,2.25,402.038,888.819,679.975,229.174
YURA IP,2810,2427,2.33,2685,6.16,0.5,146.47,4.5,309.23,729.87,979.4,201
YURA IP,2810,2427,2.33,2685,6.16,0.5,179.93,5,341.67,681.31,991.83,205
YURA IP,2810,2427,2.33,2685,6.16,0.5,220.72,4.75,376.36,631.77,1008.58,207
YURA IP,2799,2469.56,2.66,2698.5,6.71,0.75,246.14,3,368.71,642.86,1033.41,205
MISHKY IP,2866,2469.56,2.66,2698.5,6.71,0.75,299.88,5,368.71,650.47,1033.41,205
ANDINO IP,2954,2469.56,2.66,2698.5,6.71,0.75,339.63,3.5,368.71,659.93,1033.41,205
YURA IP,2799,2469.56,2.66,2698.5,6.71,0.75,345.83,3.25,439.91,580.04,1033.41,205
MISHKY IP,2866,2469.56,2.66,2698.5,6.71,0.75,366.91,6.5,439.91,589.11,1033.41,205
ANDINO IP,2954,2469.56,2.66,2698.5,6.71,0.75,451.06,4.4,439.91,600.4,1033.41,205
YURA IP,2799,2570.63,2.43,2599.08,6.45,0.75,232.48,3.75,368.71,791.04,872.12,205
MISHKY IP,2866,2570.63,2.43,2599.08,6.45,0.75,286.78,5.5,368.71,798.96,872.12,205
